task,student,buckets,origin,eval_day,arm,seed,teacher,n,base_rate,logloss,ne,cane,cane_mult,cal_mult,cal_clip_frac,cane_shift,ne_miscalibration,auc,pr_auc,ece,pred_mean,cal_ratio,n_train,eval_rows,secs,n_teacher,frac_censored,n_train_band0,n_train_band1,frac_sum_gt1,dom_auc,weight_p99,n_train_band2
1d,S0,36,40,41,oracle,0,n13,296223,0.1436924209126232,0.3221388408958796,0.7826310570398219,0.7823937004905401,0.7824940348236866,1.0308006876407672,0.0,0.0453303954997206,0.0002373565492818,0.8129112674167972,0.4933207613310109,0.0095805938983074,0.1393988407608629,0.9701196477553174,10052380.0,296223,5.9,,,,,,,,
1d,S0,36,40,41,A,0,n13,296223,0.1436924209126232,0.3231215831685985,0.7850186133542258,0.7846177329757987,0.78480417546281,1.0403088203868107,0.0,0.0589691149062313,0.0004008803784271,0.8113429342619974,0.4913102826478199,0.0102672730126027,0.1381247741984876,0.9612530244895712,9767244.0,296223,5.1,,,,,,,,
1d,S0,36,40,41,B_teacher,0,n13,296223,0.1436924209126232,0.2976902286243439,0.7232335524979426,0.7206334329797582,0.7214975353154726,0.9105327078155218,0.0,-0.1532973653279404,0.0026001195181843,0.8510923706670988,0.5488135114796131,0.0141189566241143,0.1578113775367375,1.0982581860229064,9767244.0,296223,19.0,,,,,,,,
1d,S0,36,40,41,B,0,n13,296223,0.1436924209126232,0.3217553814577043,0.78169944859237,0.781233164841954,0.781367915359288,0.959036856195079,0.0,-0.0628841650745648,0.0004662837504159,0.8140517465651562,0.4938663220709947,0.010456447072179,0.1498299257055816,1.042712794133314,10052380.0,296223,11.6,9767244.0,,,,,,,
1d,S0,36,40,41,B_nofresh,0,n13,296223,0.1436924209126232,0.3225613854311048,0.7836576220927354,0.7830489633436705,0.783181067254789,0.9534226620259874,0.0,-0.0718234247400129,0.0006086587490649,0.8126737820304459,0.4923992684262739,0.0111843463310385,0.1507121936951679,1.0488527699509864,9767244.0,296223,11.6,9767244.0,,,,,,,
1d,S0,36,40,41,C,0,n13,296223,0.1436924209126232,0.3221291666872291,0.782607553707777,0.7823674805239353,0.7824789639105771,1.030969926169254,0.0,0.045605048337635,0.0002400731838416,0.812959533257271,0.4933907151310881,0.0097257474753346,0.1393759577900949,0.9699603980842312,10052380.0,296223,6.0,,0.0283650252968072,,,,,,
1d,S0,36,40,41,D,0,n13,296223,0.1436924209126232,0.3239469596732219,0.7870238521030611,0.7870221188734239,0.7870230533898216,0.9974177749241558,0.0,-0.0038382843193791,1.7332296372574163e-06,0.8094165345691329,0.4909778742184987,0.0099505034022038,0.1440644276903424,1.0025889102247456,,296223,10.1,,,10048963.0,9767244.0,3.375835149199702e-06,,,
1d,S0,36,40,41,E,0,n13,296223,0.1436924209126232,0.3204774770805048,0.7785948007618193,0.7776410387680891,0.7780102955292945,1.0630873959929508,0.0,0.0913449763485497,0.0009537619937302,0.8161517048110604,0.4982667109721632,0.0116240709766923,0.1351652003910843,0.940656434992322,9767244.0,296223,5.8,,,,,,0.7032958898302196,3.3976681232452397,
7d,S0,36,40,41,oracle,0,n13,296223,0.1933543310276379,0.3874428812606494,0.7890084019083962,0.7884525553931712,0.788841226014342,1.043053469514814,0.0,0.0680608524619035,0.000555846515225,0.8059915278066019,0.5451706615942595,0.0122566961760678,0.1853733645290289,0.9587236217767046,10052380.0,296223,5.2,,,,,,,,
7d,S0,36,40,41,A,0,n13,296223,0.1933543310276379,0.3976169930863323,0.8097274810312333,0.8088011016548865,0.8095462304458574,1.0563226351919257,0.0,0.0876756153358448,0.0009263793763467,0.786246105197722,0.5304535202187666,0.0125637830440558,0.183044767371199,0.9466804617116888,8183873.0,296223,4.1,,,,,,,,
